,Team,3in4_BTB,3in4_BTB_W%,3in4_BTB_DIFF,BTB,BTB_W%,BTB_DIFF,3in4,3in4_W%,3in4_DIFF,one_day_rest,one_day_rest_w%,one_day_rest_diff,two_day_rest,two_day_rest_w%,two_day_rest_diff,three_plus_rest,three_plus_rest,three_plus_rest,Year
20,New York,10,0.200,-14.2,5,0.000,-20.1,9,0.222,-13.8,38,0.237,-12.6,14,0.214,-16.8,6,0.167,-11.5,2018-2019
21,Oklahoma City,10,0.700,3.2,2,0.000,-3.4,7,0.429,-5.8,43,0.605,0.6,16,0.688,2.4,4,0.500,-1.7,2018-2019
22,Orlando,9,0.222,-8.5,5,0.800,6.5,12,0.417,0.4,35,0.600,1.8,17,0.471,-2.6,4,0.500,-5.7,2018-2019
23,Philadelphia,9,0.444,-6.1,4,0.250,0.1,7,0.714,11.4,39,0.692,7.2,21,0.619,3.9,2,0.500,-3.0,2018-2019
24,Phoenix,7,0.143,-20.0,5,0.400,-13.4,7,0.286,-16.3,45,0.244,-14.4,14,0.143,-21.3,4,0.250,-6.7,2018-2019
25,Portland,7,0.571,10.0,5,0.200,-1.7,11,0.909,13.1,43,0.628,8.6,12,0.667,9.7,4,0.750,16.6,2018-2019
26,Sacramento,8,0.250,-15.5,6,0.333,-15.6,11,0.727,0.3,36,0.528,-7.6,17,0.471,-6.9,4,0.000,-18.8,2018-2019
27,San Antonio,9,0.222,-5.6,4,0.500,1.3,10,0.700,8.0,41,0.585,5.3,14,0.714,9.2,4,0.750,4.1,2018-2019
28,Toronto,7,0.714,10.3,5,0.800,20.7,8,0.750,14.8,45,0.667,8.2,13,0.769,10.7,4,0.750,4.1,2018-2019
29,Utah,9,0.333,-4.7,5,0.800,4.8,9,0.667,6.1,40,0.700,9.3,15,0.400,-0.8,4,0.750,15.2,2018-2019
30,Washington,9,0.667,2.5,6,0.667,0.7,10,0.500,-3.0,40,0.275,-4.9,11,0.182,-9.1,6,0.667,6.2,2018-2019
1,Atlanta,7,0.143,-23.4,5,0.200,-23.8,11,0.273,-12.6,35,0.286,-13.6,2,0.500,-11.0,7,0.571,-7.0,2019-2020
2,Boston,8,0.500,9.6,2,1.000,14.7,6,0.333,11.8,42,0.714,12.4,8,0.750,14.5,6,0.667,8.7,2019-2020
3,Brooklyn,8,0.125,-15.1,2,0.500,-12.5,6,0.833,5.7,40,0.575,-1.4,11,0.364,-8.9,5,0.200,-6.5,2019-2020
4,Charlotte,9,0.222,-6.1,2,0.500,-10.1,7,0.429,-8.2,35,0.343,-4.5,5,0.400,-6.1,7,0.429,-3.5,2019-2020
5,Chicago,9,0.778,-2.9,0,0.000,0.0,8,0.250,-10.1,37,0.243,-12.4,6,0.500,-7.3,5,0.200,-1.7,2019-2020
6,Cleveland,6,0.333,-8.1,6,0.333,-12.6,10,0.100,-13.8,28,0.286,-8.6,10,0.500,-1.1,5,0.200,-20.0,2019-2020
7,Dallas,9,0.556,8.9,4,0.500,13.0,8,0.500,2.8,41,0.585,10.8,7,0.571,15.3,6,0.667,10.4,2019-2020
8,Denver,6,0.667,2.7,5,0.800,9.3,7,0.143,-6.4,38,0.711,9.4,13,0.692,6.5,4,0.250,-5.8,2019-2020
9,Detroit,8,0.125,-4.6,3,0.000,-8.0,9,0.444,0.1,31,0.323,1.5,12,0.333,3.2,3,0.333,-2.3,2019-2020
10,Golden State,6,0.000,-23.8,1,1.000,10.5,6,0.333,-8.0,40,0.275,-10.7,9,0.111,-12.7,3,0.000,-23.8,2019-2020
11,Houston,7,0.429,-2.0,3,0.000,-16.6,9,0.667,6.3,37,0.649,3.3,12,0.667,8.0,4,0.750,10.4,2019-2020
12,Indiana,7,0.571,0.7,2,0.000,-17.5,7,0.571,9.2,45,0.667,4.2,7,0.571,5.2,5,0.600,1.1,2019-2020
13,LA Clippers,8,0.500,2.1,3,0.667,16.2,5,0.600,9.5,38,0.816,10.2,12,0.500,-0.6,6,0.500,0.0,2019-2020
14,LA Lakers,5,0.800,14.5,4,1.000,11.5,7,0.714,7.4,37,0.703,5.2,14,0.786,5.0,4,0.500,-1.0,2019-2020
15,Memphis,10,0.700,1.4,1,0.000,-15.8,8,0.500,-4.6,39,0.462,-6.2,9,0.556,-4.9,6,0.000,-13.9,2019-2020
16,Miami,7,0.571,0.4,5,0.400,0.3,10,0.600,9.2,35,0.543,10.2,9,0.778,12.9,7,0.857,17.8,2019-2020
17,Milwaukee,11,0.818,9.5,0,0.000,0.0,7,0.714,16.6,42,0.738,8.4,7,0.714,8.2,6,1.000,11.7,2019-2020
18,Minnesota,9,0.333,-15.3,0,0.000,0.0,8,0.375,-10.8,35,0.229,-14.2,7,0.571,-5.8,5,0.200,-14.7,2019-2020
19,New Orleans,5,0.400,-11.9,5,0.800,3.4,8,0.375,-4.2,38,0.316,-6.1,11,0.727,4.2,5,0.200,-12.0,2019-2020
20,New York,7,0.143,-20.1,3,0.333,-7.0,5,0.600,0.8,37,0.324,-7.4,11,0.273,-17.1,3,0.333,-1.2,2019-2020
21,Oklahoma City,8,0.500,1.0,3,0.667,3.6,9,0.556,3.6,38,0.684,8.6,8,0.500,4.5,6,0.500,3.1,2019-2020
22,Orlando,9,0.111,-12.7,2,0.000,-10.7,9,0.333,-4.2,39,0.564,-1.3,9,0.444,-3.8,5,0.600,-6.9,2019-2020
23,Philadelphia,10,0.700,6.9,1,1.000,17.9,9,0.667,7.1,36,0.528,2.8,13,0.538,0.3,4,0.750,9.3,2019-2020
24,Phoenix,8,0.375,-5.6,4,0.500,-0.2,9,0.333,-0.1,36,0.528,2.7,11,0.455,0.3,5,0.400,1.1,2019-2020
25,Portland,10,0.300,-1.5,2,0.500,5.9,8,0.625,-0.3,40,0.500,1.9,9,0.444,0.0,5,0.400,-4.1,2019-2020
26,Sacramento,9,0.444,-3.2,2,0.500,8.6,9,0.222,-9.6,36,0.500,0.2,11,0.273,-4.8,5,0.600,-4.1,2019-2020
27,San Antonio,8,0.500,-1.6,1,1.000,20.6,7,0.286,-5.1,40,0.400,-1.8,11,0.545,0.2,4,0.750,5.1,2019-2020
28,Toronto,6,0.667,7.9,5,0.800,11.4,9,0.778,10.6,35,0.800,11.9,12,0.500,2.9,5,0.800,12.4,2019-2020
29,Utah,7,0.571,3.8,2,0.500,1.3,8,0.250,-9.9,40,0.650,6.4,10,0.800,9.0,5,0.600,2.1,2019-2020
30,Washington,10,0.400,-4.5,0,0.000,0.0,7,0.571,-4.9,42,0.333,-5.3,6,0.333,-9.3,7,0.143,-9.3,2019-2020
